"proteinName"	"ac"	"geneName"	"proteinDescription"	"idScore"	"idQValue"	"nbPeptides"	"allAccessions"	"R424_B_IL38_1_AL_250425_0944_Expl"	"R424_B_IL38_2_AL_250425_0944_Expl"	"R424_B_IL38_3_AL_250425_0944_Expl"	"R424_B_CD3_1_AL_250425_0944_Expl"	"R424_B_CD3_2_AL_250425_0944_Expl"	"R424_B_CD3_3_AL_250425_0944_Expl_"	"R424_B_G_1_AL_250425_0944_Expl_"	"R424_B_G_2_AL_250425_0944_Expl_"	"R424_B_G_3_AL_250425_0944_Expl"	"medianInt_IL38"	"medianInt_antiCD3"	"medianInt_Glycine"	"cv_IL38"	"cv_antiCD3"	"cv_Glycine"	"log2ratio_antiCD3"	"log2ratio_Glycine"	"fracNAFeatures.IL38"	"fracNAFeatures.antiCD3"	"fracNAFeatures.Glycine"	"pValue_antiCD3"	"pValue_Glycine"	"qValue_antiCD3"	"qValue_Glycine"	"FTestPValue"	"FTestQValue"
"sp|A0A0B4J271|TVAL3_HUMAN"	"A0A0B4J271"	"TRAV12-3"	"T cell receptor alpha variable 12-3 OS=Homo sapiens OX=9606 GN=TRAV12-3 PE=1 SV=1"	1.9849	0	2	"sp|A0A0B4J271|TVAL3_HUMAN"	30386.0790109779	31655.0018410858	41760.1139913527	82246.7198982996	58076.6962114529	48122.3658769883	78346.5624966388	57675.7437281358	66668.7197187951	31655.0018410858	58076.6962114529	66668.7197187951	0.180138723397405	0.279370693765023	0.153402391554449	0.875525906113737	1.07457654293407	0	0	0	0.0109431791874116	0.00120974836187506	0.0479348407639223	0.00194822036084149	0.00405777876446373	0.00535690951514184
"sp|A0A0B4J2E0|TVBL4_HUMAN"	"A0A0B4J2E0"	"TRBV12-4"	"T cell receptor beta variable 12-4 OS=Homo sapiens OX=9606 GN=TRBV12-4 PE=1 SV=5"	1.9903	0	2	"sp|A0A0B4J2E0|TVBL4_HUMAN"	34256.5692349779	68899.0730858728	58114.5329578687	123182.957564989	117307.683185631	110180.05289682	142496.431342649	138368.752575581	114253.463856364	58114.5329578687	117307.683185631	138368.752575581	0.329774990555642	0.0557060763634997	0.115824307002104	1.01332661225487	1.25154728503142	0	0	0	0.00369401596090732	0.00208299896068116	0.0263386653615511	0.0031409555434199	0.000748235505638627	0.00121611026220585
"sp|A0A1B0GXF2|TVB72_HUMAN"	"A0A1B0GXF2"	"TRBV7-2"	"T cell receptor beta variable 7-2 OS=Homo sapiens OX=9606 GN=TRBV7-2 PE=3 SV=1"	1.9914	0	2	"sp|A0A1B0GXF2|TVB72_HUMAN"	88048.3356949779	137893.019335648	153675.576691428	235555.226306196	172859.892926631	213381.481702818	176405.252460302	183698.258154333	180632.432674568	137893.019335648	213381.481702818	180632.432674568	0.27070876092029	0.153387670241723	0.0203160998938043	0.629885553365209	0.389507528899884	0	0	0	0.0213694931416077	0.0399128562951994	0.0724610224294109	0.0482129982010727	0.0177350159356654	0.0206699922021137
"sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN"	"A0A8I5KQE6"	"RPSA2"	"Small ribosomal subunit protein uS2B OS=Homo sapiens OX=9606 GN=RPSA2 PE=3 SV=1"	5.8692	0	6	"sp|A0A8I5KQE6|RPSA2_HUMAN;sp|P08865|RSSA_HUMAN"	979483.130714934	1478237.55295714	1201258.55174642	1396480.36300745	1427056.76147217	1227843.82628793	711825.949859529	636647.282463839	718091.369930827	1201258.55174642	1396480.36300745	711825.949859529	0.204881621840443	0.0794424561223589	0.065792514694821	0.217248585341832	-0.754950268703375	0	0	0	0.392015070430107	0.00243819441603064	0.522686760573476	0.00357174094278172	0.000424228546735825	0.000762068342152238
"sp|A0JD36|TRDV2_HUMAN"	"A0JD36"	"TRDV2"	"T cell receptor delta variable 2 OS=Homo sapiens OX=9606 GN=TRDV2 PE=1 SV=1"	1.9654	0	2	"sp|A0JD36|TRDV2_HUMAN"	54488.4145949779	38900.4677916519	48932.965881957	235610.755487014	187945.36125964	187857.313495522	126666.796546194	122773.457445218	117422.21246202	48932.965881957	187945.36125964	122773.457445218	0.166532450168658	0.13515444316307	0.0379549233862407	1.94143467429796	1.32712006238646	0	0	0	1.32150110472452e-05	5.28547803858029e-05	0.0012610896256514	0.000167331721790125	1.25254824745236e-06	1.30767199485638e-05
"sp|A6NIZ1|RP1BL_HUMAN"	"A6NIZ1"	"RAP1BL"	"Ras-related protein Rap-1b-like protein OS=Homo sapiens OX=9606 GN=RAP1BL PE=2 SV=1"	2.9941	0	3	"sp|A6NIZ1|RP1BL_HUMAN"	221370.981916467	231794.512237849	266136.374001833	173455.941200479	133125.657871402	123368.922135782	97406.1354951328	112669.072207448	107766.135580032	231794.512237849	133125.657871402	107766.135580032	0.0976925185265942	0.185276214780026	0.0735495639313186	-0.800057756005909	-1.1049425138183	0	0	0	0.00370633913770329	3.69941718209729e-05	0.0263386653615511	0.000132150303617165	0.000109624877459934	0.000249079653548421
"sp|B0I1T2|MYO1G_HUMAN"	"B0I1T2"	"MYO1G"	"Unconventional myosin-Ig OS=Homo sapiens OX=9606 GN=MYO1G PE=1 SV=2"	45.7466	0	39	"sp|B0I1T2|MYO1G_HUMAN"	6456396.24286149	7401705.76674166	6895494.46417573	6363183.1755075	5732236.77598459	5651177.5864558	3319754.45619225	2920661.6596706	3269370.27244432	6895494.46417573	5732236.77598459	3269370.27244432	0.0683811586947816	0.065892574647054	0.0685619981925929	-0.266555805809734	-1.07664122990804	0	0	0	0.107344194755439	2.70827232650868e-05	0.222689199057868	0.000116613371430602	7.31601545004944e-06	3.44400335938249e-05
"sp|O00182|LEG9_HUMAN"	"O00182"	"LGALS9"	"Galectin-9 OS=Homo sapiens OX=9606 GN=LGALS9 PE=1 SV=2"	2.9875	0	3	"sp|O00182|LEG9_HUMAN"	247479.405057467	253725.336042826	266577.492449726	263369.990938299	255292.164164012	318050.229307094	137068.517802514	162959.17321156	148019.805629686	253725.336042826	263369.990938299	148019.805629686	0.0380483353308019	0.122412177641618	0.0870203659114598	0.0538233819232481	-0.777477361594212	0	0	0	0.404722995496839	0.000217800489665943	0.530107766650761	0.000470843777012458	9.0369795177114e-05	0.000218721098472145
"sp|O00299|CLIC1_HUMAN"	"O00299"	"CLIC1"	"Chloride intracellular channel protein 1 OS=Homo sapiens OX=9606 GN=CLIC1 PE=1 SV=4"	8.9844	0	8	"sp|O00299|CLIC1_HUMAN"	1365083.5461724	1665549.68303156	2141723.2661353	1628642.50356075	1490335.01738444	1301280.51130862	690585.504447561	665991.675483034	865580.294547331	1665549.68303156	1490335.01738444	690585.504447561	0.227141263206521	0.111533249464598	0.146924611796385	-0.16036171459481	-1.27010643286099	0	0	0	0.326673046513078	0.00069521004521685	0.464292755469652	0.00121253344701007	0.000324258482924319	0.000606735760765953
"sp|O00398|P2Y10_HUMAN"	"O00398"	"P2RY10"	"Putative P2Y purinoceptor 10 OS=Homo sapiens OX=9606 GN=P2RY10 PE=2 SV=1"	5.9394	0	6	"sp|O00398|P2Y10_HUMAN"	185712.168252934	239415.350350687	194574.329653388	188728.883236226	162825.649512225	202810.85937936	659843.38117308	701757.658902481	613765.542500251	194574.329653388	188728.883236226	659843.38117308	0.139374907110482	0.109756587091367	0.0668419820576644	-0.0440061555973266	1.76180224373819	0	0	0	0.34639047103492	8.89781253528821e-06	0.485020979707632	7.33794910317596e-05	7.92757520594415e-07	1.16524167375995e-05
"sp|O00478|BT3A3_HUMAN"	"O00478"	"BTN3A3"	"Butyrophilin subfamily 3 member A3 OS=Homo sapiens OX=9606 GN=BTN3A3 PE=1 SV=1"	6.9831	0	7	"sp|O00478|BT3A3_HUMAN"	262593.194547423	353695.159464977	339381.995036058	337459.82322524	323785.703296836	277064.007492903	790867.046442925	903570.733152276	718237.880832842	339381.995036058	323785.703296836	790867.046442925	0.153791792215298	0.101253364108748	0.116118894853565	-0.0678707436640273	1.22052515322634	0	0	0	0.909028583057717	0.000101090595799858	0.935290086468492	0.000261480687794097	1.71769743262835e-05	6.31467442812407e-05
"sp|O00481|BT3A1_HUMAN"	"O00481"	"BTN3A1"	"Butyrophilin subfamily 3 member A1 OS=Homo sapiens OX=9606 GN=BTN3A1 PE=1 SV=3"	5.9588	0	6	"sp|O00481|BT3A1_HUMAN"	232827.670967934	173557.345465883	216795.769945017	117723.172527934	125999.870113084	114342.302875604	324122.955810769	310377.852837932	288604.848089315	216795.769945017	117723.172527934	310377.852837932	0.147588996823665	0.0502507025470618	0.0582044628269821	-0.880938280348239	0.517689009466856	0	0	0	0.00147211558612805	0.00492281946947363	0.0153652064302116	0.00678029568166677	1.1533600713035e-05	4.69783248555328e-05
"sp|O00483|NDUA4_HUMAN"	"O00483"	"NDUFA4"	"Cytochrome c oxidase subunit NDUFA4 OS=Homo sapiens OX=9606 GN=NDUFA4 PE=1 SV=1"	2.9955	0	3	"sp|O00483|NDUA4_HUMAN"	512632.433657467	497410.151247931	625984.68271326	278978.561606895	250956.207239389	231980.885523483	195253.303199743	175591.297093013	150211.961456937	512632.433657467	250956.207239389	175591.297093013	0.128821377362104	0.0930950361273371	0.130011225555846	-1.03048912848634	-1.54570341742298	0	0	0	0.000209629020819548	2.0373317076809e-05	0.00700160929537289	0.00010156250602469	5.69361934272643e-06	2.88131645525853e-05
"sp|O00499|BIN1_HUMAN"	"O00499"	"BIN1"	"Myc box-dependent-interacting protein 1 OS=Homo sapiens OX=9606 GN=BIN1 PE=1 SV=1"	6.9587	0	7	"sp|O00499|BIN1_HUMAN"	413316.887757423	501299.963559562	628106.299474153	393125.275352	318365.411319121	567641.833732291	225191.870361623	195303.472124615	220515.279360377	501299.963559562	393125.275352	220515.279360377	0.209975261203583	0.300019864065335	0.0752421836284378	-0.350685006766255	-1.18479550660022	0	0	0	0.301538119212039	0.000255090938556813	0.43979795553197	0.000530843448460907	0.0012005239112034	0.00183093601069377
"sp|O00571|DDX3X_HUMAN"	"O00571"	"DDX3X"	"ATP-dependent RNA helicase DDX3X OS=Homo sapiens OX=9606 GN=DDX3X PE=1 SV=3"	15.9252	0	16	"sp|O00571|DDX3X_HUMAN"	1005957.09740882	1107375.03826152	1098455.6152406	1197595.3727974	1132878.26868896	1068052.02780227	672536.639550995	697108.852305032	781722.925131073	1098455.6152406	1132878.26868896	697108.852305032	0.0524532417786654	0.0571762756523682	0.0798726932659178	0.0445162707298365	-0.656020723609199	0	0	0	0.505861197673701	0.00114391956579117	0.619710456781258	0.0018821139653904	0.000273706832975328	0.000526905372989968
"sp|O00584|RNT2_HUMAN"	"O00584"	"RNASET2"	"Ribonuclease T2 OS=Homo sapiens OX=9606 GN=RNASET2 PE=1 SV=2"	9.9627	0	8	"sp|O00584|RNT2_HUMAN"	4517401.04975089	6156153.70491785	5167629.8099458	5657458.68711638	5568465.77152591	5000428.56357039	3169934.72880917	2539525.70981443	2844285.45059314	5167629.8099458	5568465.77152591	2844285.45059314	0.156271543776371	0.0658992438360326	0.110569869196224	0.107777165386821	-0.861436464213376	0	0.0333333333333333	0	0.780659093776555	0.000920925665035148	0.835705568337722	0.00154180036151248	0.000201708082246872	0.000408306057396699
"sp|O14617|AP3D1_HUMAN"	"O14617"	"AP3D1"	"AP-3 complex subunit delta-1 OS=Homo sapiens OX=9606 GN=AP3D1 PE=1 SV=1"	7.9845	0	8	"sp|O14617|AP3D1_HUMAN"	141400.865172912	128670.286782444	189473.026982353	323633.396123658	314437.874342792	167721.226492783	130910.299033046	141532.105523427	125101.19415505	141400.865172912	314437.874342792	130910.299033046	0.20934375631432	0.32570042353916	0.0628768754850116	1.15298405463743	-0.111212345331964	0	0	0	0.0392587150616581	0.281944230745933	0.10881668739082	0.303283005053596	0.0125237349742534	0.015046501731657
"sp|O14672|ADA10_HUMAN"	"O14672"	"ADAM10"	"Disintegrin and metalloproteinase domain-containing protein 10 OS=Homo sapiens OX=9606 GN=ADAM10 PE=1 SV=1"	20.9193	0	17	"sp|O14672|ADA10_HUMAN"	1257387.24073752	1589703.5566659	1475661.15124301	1705905.51089843	1673154.1648589	1728341.35381176	4318734.77324839	4488437.55037058	3997539.96611378	1475661.15124301	1705905.51089843	4318734.77324839	0.117189615358152	0.0163021127603439	0.0584115235461478	0.209176258325545	1.54924723842201	0	0	0	0.103927215189641	8.68255591910923e-06	0.217628149676113	7.24993419245621e-05	7.46591646417109e-07	1.16208714113106e-05
"sp|O14745|NHRF1_HUMAN"	"O14745"	"NHERF1"	"Na(+)H(+) exchange regulatory cofactor NHE-RF1 OS=Homo sapiens OX=9606 GN=NHERF1 PE=1 SV=4"	14.8941	0	13	"sp|O14745|NHRF1_HUMAN"	1675561.64644733	1813544.23061776	1867600.22951556	3211562.24653203	2505439.12901975	1888358.95549341	1483474.38526293	1512133.39203431	1463013.06887036	1813544.23061776	2505439.12901975	1483474.38526293	0.0554605753297091	0.261171369593002	0.0166019325775415	0.46625155545135	-0.289831915274554	0	0	0	0.0594246121293613	0.0251496719269589	0.143724208887079	0.0310535690336573	0.00799098007379681	0.00999620728332635
"sp|O14773|TPP1_HUMAN"	"O14773"	"TPP1"	"Tripeptidyl-peptidase 1 OS=Homo sapiens OX=9606 GN=TPP1 PE=1 SV=2"	3.9895	0	4	"sp|O14773|TPP1_HUMAN"	748701.096109956	635514.75443798	624097.51178764	477052.15983003	685486.305788303	631638.330298541	395706.128607027	344754.870489405	368424.540969463	635514.75443798	631638.330298541	368424.540969463	0.102893806212868	0.180915846210102	0.0689799528620848	-0.00882689770563161	-0.786556456598372	0	0	0	0.355921821033464	0.000242438102644607	0.492247984369262	0.00051087903017854	0.000988932804201545	0.0015434745635669
"sp|O14818|PSA7_HUMAN"	"O14818"	"PSMA7"	"Proteasome subunit alpha type-7 OS=Homo sapiens OX=9606 GN=PSMA7 PE=1 SV=1"	3.982	0	4	"sp|O14818|PSA7_HUMAN"	318402.403359956	184456.070166893	216008.78840752	280363.434133173	204632.159572089	154082.897222922	145780.051742736	133189.186091182	134049.313081539	216008.78840752	204632.159572089	134049.313081539	0.292233776858757	0.298354712241437	0.0510935997963172	-0.0780571163251444	-0.688326183797155	0	0	0	0.569749800108145	0.00939025490341798	0.675781332421786	0.0123478155029197	0.0362389660406033	0.0406168277099379
"sp|O15027|SC16A_HUMAN"	"O15027"	"SEC16A"	"Protein transport protein Sec16A OS=Homo sapiens OX=9606 GN=SEC16A PE=1 SV=4"	14.8866	0	15	"sp|O15027|SC16A_HUMAN"	891806.219302334	870859.018659156	835474.487036851	1331045.40325888	994561.15737834	875933.49337557	655417.285943214	642096.028160683	743896.002594522	870859.018659156	994561.15737834	655417.285943214	0.0328764574374554	0.221224628316427	0.0813130686467076	0.191620904551812	-0.41002546023217	0	0.0222222222222222	0	0.161971544551432	0.0115530245088258	0.284187280189156	0.0149273121313262	0.010164945134732	0.0124819546875017
"sp|O15031|PLXB2_HUMAN"	"O15031"	"PLXNB2"	"Plexin-B2 OS=Homo sapiens OX=9606 GN=PLXNB2 PE=1 SV=3"	24.9027	0	24	"sp|O15031|PLXB2_HUMAN"	1003048.96839545	1183443.04415623	1236315.37755202	1862031.88197184	1619428.52183795	1656789.82276536	2543461.88966563	2676068.71877177	2436194.79062785	1183443.04415623	1656789.82276536	2543461.88966563	0.107196880795644	0.0762659432219775	0.0470862602765537	0.485400321775696	1.10380320271245	0.0133333333333333	0	0	0.00421432805996092	3.7551166077122e-05	0.0280993715320024	0.000133426483720838	1.72991829393219e-05	6.31467442812407e-05
"sp|O15260|SURF4_HUMAN"	"O15260"	"SURF4"	"Surfeit locus protein 4 OS=Homo sapiens OX=9606 GN=SURF4 PE=1 SV=3"	2.9911	0	3	"sp|O15260|SURF4_HUMAN"	105394.092077467	89931.8957231014	85669.437856066	48449.1119919019	54342.948053887	80648.8534251451	54701.1459599125	52996.2415749184	52057.253011488	89931.8957231014	54342.948053887	52996.2415749184	0.110806907194097	0.280378498924685	0.0251693898906579	-0.726740047838677	-0.76294283113978	0	0	0	0.0229554625326362	0.000258817823154313	0.0770565274964874	0.000535545975840618	0.00483987191304668	0.00632687756930563
"sp|O15294|OGT1_HUMAN"	"O15294"	"OGT"	"UDP-N-acetylglucosamine--peptide N-acetylglucosaminyltransferase 110 kDa subunit OS=Homo sapiens OX=9606 GN=OGT PE=1 SV=3"	3.9923	0	4	"sp|O15294|OGT1_HUMAN"	114069.331979956	176992.736329061	149196.96979722	169167.557234487	146053.064623806	156762.73539819	109007.083342125	96140.045719255	108334.882065581	149196.96979722	156762.73539819	108334.882065581	0.214869964496756	0.0735254831620251	0.0693106054399872	0.0713644176390709	-0.461720392608896	0	0	0	0.537038219497374	0.0345848132982242	0.648718861888329	0.0420813393136863	0.0135208421346718	0.0161572854131677
"sp|O15427|MOT4_HUMAN"	"O15427"	"SLC16A3"	"Monocarboxylate transporter 4 OS=Homo sapiens OX=9606 GN=SLC16A3 PE=1 SV=1"	2.9962	0	3	"sp|O15427|MOT4_HUMAN"	382292.556227467	414023.331152184	440964.594745505	128685.571604063	123013.398764601	113947.154875978	98605.0577938796	109647.503146018	91177.8675510706	414023.331152184	123013.398764601	98605.0577938796	0.071209195559458	0.0609938693739384	0.0931127981365072	-1.75089660497772	-2.06997851472385	0	0	0	3.91496454301371e-06	1.12777276843776e-06	0.00123837195353765	6.56747162000348e-05	7.65935345124026e-08	1.07677447704228e-05
"sp|O15439|MRP4_HUMAN"	"O15439"	"ABCC4"	"ATP-binding cassette sub-family C member 4 OS=Homo sapiens OX=9606 GN=ABCC4 PE=1 SV=3"	4.9897	0	5	"sp|O15439|MRP4_HUMAN"	37475.8443954447	48127.268311889	27332.676366123	21992.1536185999	25234.5606278034	45215.2156294689	84744.1835762273	87064.6734422339	65400.8345686994	37475.8443954447	25234.5606278034	84744.1835762273	0.276218846866839	0.408151372500661	0.150429924717738	-0.570560017614733	1.17715336720996	0	0	0	0.362058100043382	0.00276543442674433	0.495604120551186	0.00399433084978675	0.00317796636571015	0.00437707532431831
"sp|O15533|TPSN_HUMAN"	"O15533"	"TAPBP"	"Tapasin OS=Homo sapiens OX=9606 GN=TAPBP PE=1 SV=2"	5.8635	0	6	"sp|O15533|TPSN_HUMAN"	594687.129954934	587983.673632757	558024.847623505	473470.22538347	411126.002773014	413303.694742724	277483.368229228	307102.1885541	314119.376356306	587983.673632757	413303.694742724	307102.1885541	0.0336447251870631	0.0817841930759264	0.0649109909250319	-0.50857383594251	-0.937057303063689	0	0	0	0.0101418704464573	4.21962480528616e-05	0.0467225479878172	0.000139540067818374	3.18315426619312e-05	9.93362744357226e-05
"sp|O43676|NDUB3_HUMAN"	"O43676"	"NDUFB3"	"NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 OS=Homo sapiens OX=9606 GN=NDUFB3 PE=1 SV=3"	3.977	0	4	"sp|O43676|NDUB3_HUMAN"	529571.286509956	615649.021633649	521761.758691433	505221.872620421	391959.18896911	430411.043486167	303450.802085633	270056.788959902	290730.820861739	529571.286509956	430411.043486167	290730.820861739	0.0937585814731958	0.130150916570518	0.0585051999018291	-0.299109805935608	-0.865140878871525	0	0	0	0.0613161516233995	9.9687580058872e-05	0.14473211761283	0.000260122279216119	0.000159582642059275	0.000340578929378901
"sp|O43678|NDUA2_HUMAN"	"O43678"	"NDUFA2"	"NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 OS=Homo sapiens OX=9606 GN=NDUFA2 PE=1 SV=3"	4.993	0	4	"sp|O43678|NDUA2_HUMAN"	523214.496362445	521820.523298536	486653.5941957	418829.796879204	330542.706965454	355012.081919948	224119.741702598	158123.731515596	155739.776543937	521820.523298536	355012.081919948	158123.731515596	0.0405782908039711	0.123819749811309	0.216415541507166	-0.555685562881305	-1.72249978032701	0	0	0	0.0104584116625041	5.98210612357564e-05	0.0472041823685995	0.00018000211218687	2.66496884955614e-05	8.69743630972586e-05
